"page","category","record","cas_number","name","emission_likelihood","pbt_vpvb_req","pmt_vpvm","quality","p","p_rat","m","m_rat","t","t_rat","max_conc_myg_l","comments"
72,1,1,"108-78-1","Melamine","very high","Y","vPvM& PMT","HQ","vP","All biodegradation results in 301C and 302Btests imply no significant biodegradation. Therefore, this substance is assessed to be per- sistent in water. (Berger et al. 2018)","vM","exp min. log Dow/Kow = -2.3 (ionizable cmpd.)","T","Carc_2STOTRE_2","E; F; Z(DW: det.)","HOT-L"
72,1,2,"80-08-0","Dapsone","very high","Y","vPvM& PMT","HQ","vP","No significant biodegradation in 301D tests. ThePBT assessment evaluates the substance to be persistent. Therefore, this substance is assessed to be persistent in water. (Berger et al. 2018)","vM","exp min. log Doc/Koc = 1.8 (neu- tral cmpd.)","T","STOTRE_1STO- TRE_2_Sus pected ED","F (DW:det.)","pharmaceutical"
72,1,3,"37640-57-6","1,3,5-triazine-2,4,6(1H,3H,5H)-tri- one, compound with1,3,5-triazine-2,4,6-triamine (1:1)","high","Y","vPvM& PMT","HQ","vP","measured half-life = 913 d (soil)","vM","read-across min. log Dow/Kow = 2.0 (neutral cmpd.)","T","STOTRE_2","","melamine duplicate"
72,1,4,"3622-84-2","N-butylbenzenesul- phonamide","very high","Y","vPvM& PMT","HQ","vP","measured half-life = 1 011 d (fresh water)","vM","exp min. logDow/Kow = 2.0 (ne- utral cmpd.)","T","STOTRE_2","S (DW:0.05)",""
72,1,5,"95-50-1","1,2-dichlorobenzene","very high","Y","vPvM","HQ","vP","measured half-life = 191 d (soil)","vM","exp min. log Doc/Koc = 2.7 (neu- tral cmpd.)","Pot. T","CramerClass III","H;O(DW&GW:>10)","DK-study"
72,1,6,"123-91-1","1,4-dioxane","very high","Y","PMT","HQ","P","No significant biodegradation in 301F testi-mated The PBT assessment evaluates the sub- stance to be persistent. Therefore, this sub- stance is assessed to be persistent in water. (Berger et al. 2018)","vM","exp min. logDoc/Koc = -0.5 (neu- tral cmpd.)","T","Carc_2STOTRE_1STOTRE_2","E;S; T (DW:0.6)","HOT-H"
72,1,7,"126-86-3","2,4,7,9-tetramethyl- dec-5-yne-4,7-diol","very high","Y","PMT","HQ","P","All biodegradation results in 301B and 302Btests imply no significant biodegradation. Therefore, this substance is assessed to be per- sistent in water. (Berger et al. 2018)","vM","exp min. log Doc/Koc = 1.6 (neu- tral cmpd.)","T","STOTRE_2","N (DW:0.24)","DK-study"
73,1,8,"288-88-0","1,2,4-triazole","very high","Y","PMT","HQ","P","All biodegradation results in 301A and 302B tests imply no significant biodegradation. Therefore, this substance is assessed to be per- sistent in water. (Berger et al. 2018)","vM","exp min. logDoc/Koc = 1.6 (ioniz- able cmpd.)","T","Rep_2","E; Z (DW:det.)","HOT-H"
73,1,9,"834-12-8","Ametryn","very high","Y","PMT","HQ","P","measured half-life = 143 d (soil)","vM","exp min. logDoc/Koc = 1.8 (ioniz- able cmpd.)","T","ecotox","H; Z (DW&GW: det.)","DK-study"
73,1,10,"2855-13-2","3-aminomethyl-3,5,5- trimethylcyclohexyla- mine","very high","Y","PMT","HQ","P","No significant biodegradation in 301A tests. ThePBT assessment evaluates the substance to be persistent. Therefore, this substance is assessed to be persistent in water. (Berger et al. 2018)","vM","exp min. log Dow/Kow = -1.3 (ionizable cmpd.)","T","SuspectedED","Z (det.)",""
73,1,11,"51-28-5","2,4-dinitrophenol","very high","Y","vPvM& PMT","MQ","Pot. P/vP++","this is not persistent in soil, but some data inthe dossier suggests the vP criteria in fresh wa- ter is met. Further, it is found in monitoring studies, there were consistent indications of P across tested QSARs, and this substances was also considered as prioritized by Nödler et al.","vM","exp min. log Doc/Koc = -3.4 (ion- izable cmpd.)","T","muta_2Rep_2STOTRE_1STOTRE_2DNEL_Sus- pected ED","A;H(DW&GW:333)","HOT-H, DK-study"
73,1,12,"56-23-5","Carbon tetrachloride","very high","Y","vPvM& PMT","MQ","Pot. P/vP++","estimated t1/2 = 97d, weight-of-evidence by discovery in monitoring studies, and consistent indications of P across tested QSARs","vM","exp min. log Doc/Koc = 1.9 (neu- tral cmpd.)","T","Carc_1bCarc_2Rep_2STOTRE_1STOTRE_2","H;O(DW&GW:2.24)",""
73,1,13,"56-93-9","Benzyltrime- thylammonium chlo- ride","very high","Y","vPvM& PMT","MQ","Pot. P/vP++","estimated t1/2 = 21d, weight-of-evidence (thisstudy) based on all used QSARs and no biodeg. observed in majority of biodegradation screen tests for substance/main transformation prod- ucts, e.g. 301 C (Ready Biodegradability: Modi- fied MITI Test (I))","vM","QSAR min. log Dow/Kow = -1.0 (single_cation cmpd.)","T","muta_2","F; Z (DW:det.)",""
73,1,14,"67-66-3","Chloroform","very high","Y","vPvM& PMT","MQ","Pot. P/vP++","estimated t1/2 = 45d, weight-of-evidence bydiscovery in monitoring studies, available QSARs and no biodeg. observed in majority of biodegradation screen tests e.g. 301 C (Ready Biodegradability: Modified MITI Test (I))","vM","exp min. log Doc/Koc = 2.0 (neu- tral cmpd.)","T","Carc_2muta_2Rep_2STOTRE_1STOTRE_2","H;O;P(DW&GW:34.6)","HOT-H"
73,1,15,"75-35-4","1,1-dichloroethylene","very high","Y","vPvM& PMT","MQ","Pot. P/vP++","estimated t1/2 = 28d, weight-of-evidence by discovery in monitoring studies, available QSARs and no biodeg. observed in majority ofbiodegradation screen tests e.g. 301 D (ReadyBiodegradability: Closed Bottle Test)","vM","exp min. log Doc/Koc = 1.4 (neu- tral cmpd.)","T","Carc_1bCarc_2STOTRE_1STOTRE_2","O (GW:>10)","HOT-H"
74,1,16,"75-71-8","Dichlorodifluoro- methane","very high","Y","vPvM","MQ","Pot.P/vP++","estimated t1/2 = 44d, weight-of-evidence bydiscovery in monitoring studies, and consistent indications of P across tested QSARs","vM","exp min. logDoc/Koc = 1.0 (neu- tral cmpd.)","Pot. T","CramerClass III","O (GW: 5-10)",""
74,1,17,"76-05-1","Trifluoroacetic acid","very high","Y","vPvM","MQ","Pot. P/vP++","estimated t1/2 = 20d, weight-of-evidence bydiscovery in monitoring studies, available QSARs and no biodeg. observed in majority of biodegradation screen tests e.g. 301 D (Ready Biodegradability: Closed Bottle Test)","vM","QSAR min. log Dow/Kow = -0.6 (ionizable cmpd.)","Pot. T","CramerClass III","E;U;V(DW&GW:0.15)","HOT-L"
74,1,18,"78-51-3","Tris(2-butoxyethyl)phosphate","very high","Y","vPvM","MQ","Pot. P/vP++","estimated t1/2 = 10d, weight-of-evidence bydiscovery in monitoring studies, available QSARs and no biodeg. observed in majority of biodegradation screen tests e.g. 302 C (Inher- ent Biodegradability: Modified MITI Test (II))","vM","exp min. log Doc/Koc = 2.5 (neu- tral cmpd.)","Pot. T","CramerClass III","H (DW:0.35)",""
74,1,19,"78-87-5","1,2-dichloropropane","very high","Y","vPvM& PMT","MQ","Pot. P/vP++","P data for this substance is variable and difficultto conclude; however, its identification in moni- toring studies in DW and GW indicates it is per- sistent enough.","vM","exp min. log Doc/Koc = 1.3 (neu- tral cmpd.)","T","Carc_1b","H;O(DW&GW:1.71)","HOT-H, DK-study"
74,1,20,"95-14-7","Benzotriazole","very high","Y","vPvM& PMT","MQ","Pot. P/vP++","estimated t1/2 = 18d, weight-of-evidence (thisstudy) based on all used QSARs and no biodeg. observed in majority of biodegradation screen tests for substance/main transformation prod- ucts, e.g. 301 D (Ready Biodegradability: Closed Bottle Test)","vM","exp min. logDoc/Koc = 1.5 (ioniz- able cmpd.)","T","muta_2","A; B; E;S(DW&GW:1.5)","HOT-L"
