Messstellennummer,Bezirk,Auspraegung,Grundwasserleiter,Datum,Parameterwert,Einheit,Ganglinie,Klassifikation,stammdaten_link
3,Reinickendorf,GW-Stand + GW-Güte 5,Hauptgrundwasserleiter (GWL 1.3 + 2),29.10.2025,12.40,°C,https://wasserportal.berlin.de/station.php?anzeige=g&thema=gwq&station=3&nstoffid=10,keine,https://wasserportal.berlin.de/station.php?anzeige=i&thema=gwq&station=3
129,Tempelhof-Schöneberg,"GW-Stand, tagesaktuell + GW-Güte 3",Hauptgrundwasserleiter (GWL 1.3 + 2),11.12.2025,10.60,°C,https://wasserportal.berlin.de/station.php?anzeige=g&thema=gwq&station=129&nstoffid=10,keine,https://wasserportal.berlin.de/station.php?anzeige=i&thema=gwq&station=129
137,Mitte,"GW-Stand, tagesaktuell + GW-Güte 3",Hauptgrundwasserleiter (GWL 1.3 + 2),22.10.2025,15.00,°C,https://wasserportal.berlin.de/station.php?anzeige=g&thema=gwq&station=137&nstoffid=10,keine,https://wasserportal.berlin.de/station.php?anzeige=i&thema=gwq&station=137
145,Reinickendorf,GW-Stand + GW-Güte 5,Hauptgrundwasserleiter (GWL 1.3 + 2),29.10.2025,12.50,°C,https://wasserportal.berlin.de/station.php?anzeige=g&thema=gwq&station=145&nstoffid=10,keine,https://wasserportal.berlin.de/station.php?anzeige=i&thema=gwq&station=145
149,Mitte,GW-Stand + GW-Güte 5,Hauptgrundwasserleiter (GWL 1.3 + 2),16.12.2025,13.80,°C,https://wasserportal.berlin.de/station.php?anzeige=g&thema=gwq&station=149&nstoffid=10,keine,https://wasserportal.berlin.de/station.php?anzeige=i&thema=gwq&station=149
282,Mitte,GW-Stand + GW-Güte 5,Hauptgrundwasserleiter (GWL 1.3 + 2),16.11.2023,12.00,°C,https://wasserportal.berlin.de/station.php?anzeige=g&thema=gwq&station=282&nstoffid=10,keine,https://wasserportal.berlin.de/station.php?anzeige=i&thema=gwq&station=282
344,Spandau,GW-Stand + GW-Güte 5,Hauptgrundwasserleiter (GWL 1.3 + 2),10.11.2025,13.20,°C,https://wasserportal.berlin.de/station.php?anzeige=g&thema=gwq&station=344&nstoffid=10,keine,https://wasserportal.berlin.de/station.php?anzeige=i&thema=gwq&station=344
358,Reinickendorf,"GW-Stand, tagesaktuell + GW-Güte 3",Hauptgrundwasserleiter (GWL 1.3 + 2),06.11.2025,12.70,°C,https://wasserportal.berlin.de/station.php?anzeige=g&thema=gwq&station=358&nstoffid=10,keine,https://wasserportal.berlin.de/station.php?anzeige=i&thema=gwq&station=358
484,Friedrichshain-Kreuzberg,GW-Güte 1,Hauptgrundwasserleiter (GWL 1.3 + 2),16.12.2025,14.10,°C,https://wasserportal.berlin.de/station.php?anzeige=g&thema=gwq&station=484&nstoffid=10,keine,https://wasserportal.berlin.de/station.php?anzeige=i&thema=gwq&station=484
499,Neukölln,GW-Stand + GW-Güte 5,Hauptgrundwasserleiter (GWL 1.3 + 2),17.11.2025,13.10,°C,https://wasserportal.berlin.de/station.php?anzeige=g&thema=gwq&station=499&nstoffid=10,keine,https://wasserportal.berlin.de/station.php?anzeige=i&thema=gwq&station=499
580,Friedrichshain-Kreuzberg,GW-Stand + GW-Güte 5,Hauptgrundwasserleiter (GWL 1.3 + 2),16.12.2025,13.00,°C,https://wasserportal.berlin.de/station.php?anzeige=g&thema=gwq&station=580&nstoffid=10,keine,https://wasserportal.berlin.de/station.php?anzeige=i&thema=gwq&station=580
604,Charlottenburg-Wilmersdorf,GW-Stand + GW-Güte 5,Hauptgrundwasserleiter (GWL 1.3 + 2),21.05.2025,16.10,°C,https://wasserportal.berlin.de/station.php?anzeige=g&thema=gwq&station=604&nstoffid=10,keine,https://wasserportal.berlin.de/station.php?anzeige=i&thema=gwq&station=604
645,Charlottenburg-Wilmersdorf,GW-Stand + GW-Güte 5,Hauptgrundwasserleiter (GWL 1.3 + 2),10.11.2025,12.00,°C,https://wasserportal.berlin.de/station.php?anzeige=g&thema=gwq&station=645&nstoffid=10,keine,https://wasserportal.berlin.de/station.php?anzeige=i&thema=gwq&station=645
762,Steglitz-Zehlendorf,GW-Stand + GW-Güte 5,Hauptgrundwasserleiter (GWL 1.3 + 2),08.12.2025,13.00,°C,https://wasserportal.berlin.de/station.php?anzeige=g&thema=gwq&station=762&nstoffid=10,keine,https://wasserportal.berlin.de/station.php?anzeige=i&thema=gwq&station=762
775,Steglitz-Zehlendorf,"GW-Stand, tagesaktuell + GW-Güte 3",Hauptgrundwasserleiter (GWL 1.3 + 2),10.12.2025,11.70,°C,https://wasserportal.berlin.de/station.php?anzeige=g&thema=gwq&station=775&nstoffid=10,keine,https://wasserportal.berlin.de/station.php?anzeige=i&thema=gwq&station=775
1359,Charlottenburg-Wilmersdorf,GW-Stand + GW-Güte 5,Hauptgrundwasserleiter (GWL 1.3 + 2),05.11.2025,12.50,°C,https://wasserportal.berlin.de/station.php?anzeige=g&thema=gwq&station=1359&nstoffid=10,keine,https://wasserportal.berlin.de/station.php?anzeige=i&thema=gwq&station=1359
2604,Pankow,GW-Stand + GW-Güte 5,Hauptgrundwasserleiter (GWL 1.3 + 2),09.10.2025,10.10,°C,https://wasserportal.berlin.de/station.php?anzeige=g&thema=gwq&station=2604&nstoffid=10,keine,https://wasserportal.berlin.de/station.php?anzeige=i&thema=gwq&station=2604
3215,Neukölln,"GW-Stand, tagesaktuell + GW-Güte 3",Hauptgrundwasserleiter (GWL 1.3 + 2),17.11.2025,13.90,°C,https://wasserportal.berlin.de/station.php?anzeige=g&thema=gwq&station=3215&nstoffid=10,keine,https://wasserportal.berlin.de/station.php?anzeige=i&thema=gwq&station=3215
3354,Treptow-Köpenick,"GW-Stand, tagesaktuell + GW-Güte 3",Hauptgrundwasserleiter (GWL 1.3 + 2),22.10.2025,10.50,°C,https://wasserportal.berlin.de/station.php?anzeige=g&thema=gwq&station=3354&nstoffid=10,keine,https://wasserportal.berlin.de/station.php?anzeige=i&thema=gwq&station=3354
4061,Spandau,"GW-Stand, tagesaktuell + GW-Güte 3",Hauptgrundwasserleiter (GWL 1.3 + 2),10.11.2025,11.30,°C,https://wasserportal.berlin.de/station.php?anzeige=g&thema=gwq&station=4061&nstoffid=10,keine,https://wasserportal.berlin.de/station.php?anzeige=i&thema=gwq&station=4061
4105,Spandau,GW-Stand + GW-Güte 5,Hauptgrundwasserleiter (GWL 1.3 + 2),10.11.2025,12.70,°C,https://wasserportal.berlin.de/station.php?anzeige=g&thema=gwq&station=4105&nstoffid=10,keine,https://wasserportal.berlin.de/station.php?anzeige=i&thema=gwq&station=4105
4233,Spandau,GW-Güte 1,Hauptgrundwasserleiter (GWL 1.3 + 2),18.11.2025,12.60,°C,https://wasserportal.berlin.de/station.php?anzeige=g&thema=gwq&station=4233&nstoffid=10,keine,https://wasserportal.berlin.de/station.php?anzeige=i&thema=gwq&station=4233
4304,Charlottenburg-Wilmersdorf,"GW-Stand, tagesaktuell + GW-Güte 3",Hauptgrundwasserleiter (GWL 1.3 + 2),05.11.2025,12.50,°C,https://wasserportal.berlin.de/station.php?anzeige=g&thema=gwq&station=4304&nstoffid=10,keine,https://wasserportal.berlin.de/station.php?anzeige=i&thema=gwq&station=4304
4521,Spandau,GW-Stand + GW-Güte 5,Hauptgrundwasserleiter (GWL 1.3 + 2),06.11.2023,11.30,°C,https://wasserportal.berlin.de/station.php?anzeige=g&thema=gwq&station=4521&nstoffid=10,keine,https://wasserportal.berlin.de/station.php?anzeige=i&thema=gwq&station=4521
4611,Spandau,"GW-Stand, tagesaktuell + GW-Güte 3",Elsterzeitl. GW-Leiter (GWL 3),21.10.2025,12.50,°C,https://wasserportal.berlin.de/station.php?anzeige=g&thema=gwq&station=4611&nstoffid=10,keine,https://wasserportal.berlin.de/station.php?anzeige=i&thema=gwq&station=4611
4612,Spandau,"GW-Stand, tagesaktuell + GW-Güte 3",Hauptgrundwasserleiter (GWL 1.3 + 2),21.10.2025,13.00,°C,https://wasserportal.berlin.de/station.php?anzeige=g&thema=gwq&station=4612&nstoffid=10,keine,https://wasserportal.berlin.de/station.php?anzeige=i&thema=gwq&station=4612
4640,Spandau,GW-Stand + GW-Güte 5,Hauptgrundwasserleiter (GWL 1.3 + 2),21.10.2025,13.60,°C,https://wasserportal.berlin.de/station.php?anzeige=g&thema=gwq&station=4640&nstoffid=10,keine,https://wasserportal.berlin.de/station.php?anzeige=i&thema=gwq&station=4640
4727,Spandau,"GW-Stand, tagesaktuell + GW-Güte 3",Elsterzeitl. GW-Leiter (GWL 3),18.11.2025,11.50,°C,https://wasserportal.berlin.de/station.php?anzeige=g&thema=gwq&station=4727&nstoffid=10,keine,https://wasserportal.berlin.de/station.php?anzeige=i&thema=gwq&station=4727
4846,Spandau,"GW-Stand, tagesaktuell + GW-Güte 3",Hauptgrundwasserleiter (GWL 1.3 + 2),18.11.2025,11.10,°C,https://wasserportal.berlin.de/station.php?anzeige=g&thema=gwq&station=4846&nstoffid=10,keine,https://wasserportal.berlin.de/station.php?anzeige=i&thema=gwq&station=4846
4875,Spandau,"GW-Stand, tagesaktuell + GW-Güte 3",Elsterzeitl. GW-Leiter (GWL 3),18.11.2025,11.60,°C,https://wasserportal.berlin.de/station.php?anzeige=g&thema=gwq&station=4875&nstoffid=10,keine,https://wasserportal.berlin.de/station.php?anzeige=i&thema=gwq&station=4875
5002,Lichtenberg,GW-Stand + GW-Güte 5,Hauptgrundwasserleiter (GWL 1.3 + 2),28.10.2025,12.30,°C,https://wasserportal.berlin.de/station.php?anzeige=g&thema=gwq&station=5002&nstoffid=10,keine,https://wasserportal.berlin.de/station.php?anzeige=i&thema=gwq&station=5002
5003,Pankow,GW-Güte 1,Weitere,28.10.2025,12.60,°C,https://wasserportal.berlin.de/station.php?anzeige=g&thema=gwq&station=5003&nstoffid=10,keine,https://wasserportal.berlin.de/station.php?anzeige=i&thema=gwq&station=5003
5005,Pankow,GW-Stand + GW-Güte 5,Hauptgrundwasserleiter (GWL 1.3 + 2),03.12.2025,12.20,°C,https://wasserportal.berlin.de/station.php?anzeige=g&thema=gwq&station=5005&nstoffid=10,keine,https://wasserportal.berlin.de/station.php?anzeige=i&thema=gwq&station=5005
5008,Lichtenberg,GW-Stand + GW-Güte 5,Hauptgrundwasserleiter (GWL 1.3 + 2),28.10.2025,12.60,°C,https://wasserportal.berlin.de/station.php?anzeige=g&thema=gwq&station=5008&nstoffid=10,keine,https://wasserportal.berlin.de/station.php?anzeige=i&thema=gwq&station=5008
5009,Pankow,GW-Stand + GW-Güte 5,Hauptgrundwasserleiter (GWL 1.3 + 2),03.12.2025,13.40,°C,https://wasserportal.berlin.de/station.php?anzeige=g&thema=gwq&station=5009&nstoffid=10,keine,https://wasserportal.berlin.de/station.php?anzeige=i&thema=gwq&station=5009
5010,Pankow,GW-Güte 1,Weitere,13.05.2019,14.30,°C,https://wasserportal.berlin.de/station.php?anzeige=g&thema=gwq&station=5010&nstoffid=10,keine,https://wasserportal.berlin.de/station.php?anzeige=i&thema=gwq&station=5010
5013,Pankow,GW-Stand + GW-Güte 5,Hauptgrundwasserleiter (GWL 1.3 + 2),03.12.2025,12.00,°C,https://wasserportal.berlin.de/station.php?anzeige=g&thema=gwq&station=5013&nstoffid=10,keine,https://wasserportal.berlin.de/station.php?anzeige=i&thema=gwq&station=5013
5020,Marzahn-Hellersdorf,"GW-Stand, tagesaktuell + GW-Güte 3",Hauptgrundwasserleiter (GWL 1.3 + 2),19.10.2023,10.30,°C,https://wasserportal.berlin.de/station.php?anzeige=g&thema=gwq&station=5020&nstoffid=10,keine,https://wasserportal.berlin.de/station.php?anzeige=i&thema=gwq&station=5020
5022,Pankow,"GW-Stand, tagesaktuell + GW-Güte 3",Hauptgrundwasserleiter (GWL 1.3 + 2),28.10.2025,10.70,°C,https://wasserportal.berlin.de/station.php?anzeige=g&thema=gwq&station=5022&nstoffid=10,keine,https://wasserportal.berlin.de/station.php?anzeige=i&thema=gwq&station=5022
