Messstellennummer,Messstellenname,Gewaesser,Betreiber,Datum,Sauerstoffgehalt,Einheit,Ganglinie,Klassifikation,stammdaten_link
601,MPS Berlin-Spandauer-Schifffahrtskanal,Berlin-Spandauer-Schifffahrtskanal,Land Berlin,14.05.2026 07:00,6.51,mg/l,https://wasserportal.berlin.de/station.php?anzeige=g&thema=oog&station=601,>5 - 10,https://wasserportal.berlin.de/station.php?anzeige=i&thema=oog&station=601
151,MPS Caprivibrücke,Spree,Land Berlin,14.05.2026 07:00,6.52,mg/l,https://wasserportal.berlin.de/station.php?anzeige=g&thema=oog&station=151,>5 - 10,https://wasserportal.berlin.de/station.php?anzeige=i&thema=oog&station=151
153,MPS Charlottenburg,Spree,Land Berlin,27.10.2025 23:45,8.37,mg/l,https://wasserportal.berlin.de/station.php?anzeige=g&thema=oog&station=153,inaktiv,https://wasserportal.berlin.de/station.php?anzeige=i&thema=oog&station=153
139,MPS Fischerinsel,Spree,Land Berlin,14.05.2026 07:00,5.32,mg/l,https://wasserportal.berlin.de/station.php?anzeige=g&thema=oog&station=139,>5 - 10,https://wasserportal.berlin.de/station.php?anzeige=i&thema=oog&station=139
509,MPS Landwehrkanal,Landwehrkanal,Land Berlin,14.05.2026 07:00,4.73,mg/l,https://wasserportal.berlin.de/station.php?anzeige=g&thema=oog&station=509,<= 5,https://wasserportal.berlin.de/station.php?anzeige=i&thema=oog&station=509
504,MPS Neuköllner Schifffahrtskanal,Neuköllner Schifffahrtskanal,Land Berlin,14.05.2026 07:00,3.18,mg/l,https://wasserportal.berlin.de/station.php?anzeige=g&thema=oog&station=504,<= 5,https://wasserportal.berlin.de/station.php?anzeige=i&thema=oog&station=504
414,MPS Teltowkanal,Teltowkanal,Land Berlin,19.04.2026 10:00,8.08,mg/l,https://wasserportal.berlin.de/station.php?anzeige=g&thema=oog&station=414,nicht aktuell,https://wasserportal.berlin.de/station.php?anzeige=i&thema=oog&station=414
141,MS Mühlendammschleuse,Spree,Land Berlin,02.07.2025 10:00,10.38,mg/l,https://wasserportal.berlin.de/station.php?anzeige=g&thema=oog&station=141,inaktiv,https://wasserportal.berlin.de/station.php?anzeige=i&thema=oog&station=141
111,MS Rahnsdorf,Müggelspree,Land Berlin,14.05.2026 07:00,6.74,mg/l,https://wasserportal.berlin.de/station.php?anzeige=g&thema=oog&station=111,>5 - 10,https://wasserportal.berlin.de/station.php?anzeige=i&thema=oog&station=111
211,MS Schmöckwitz,Dahme,Land Berlin,14.05.2026 07:00,6.64,mg/l,https://wasserportal.berlin.de/station.php?anzeige=g&thema=oog&station=211,>5 - 10,https://wasserportal.berlin.de/station.php?anzeige=i&thema=oog&station=211
161,MS Sophienwerder,Spree,Land Berlin,14.05.2026 07:00,7.35,mg/l,https://wasserportal.berlin.de/station.php?anzeige=g&thema=oog&station=161,>5 - 10,https://wasserportal.berlin.de/station.php?anzeige=i&thema=oog&station=161
421,MS Teltow-Werft,Teltowkanal,Land Berlin,14.05.2026 07:00,4.23,mg/l,https://wasserportal.berlin.de/station.php?anzeige=g&thema=oog&station=421,<= 5,https://wasserportal.berlin.de/station.php?anzeige=i&thema=oog&station=421
SP_0150,Beeskow,Spree,Land Brandenburg,k. A.,k. A.,k. A.,NA,keine,https://lfu.brandenburg.de/lfu/de/aufgaben/wasser/fliessgewaesser-und-seen/gewaesserueberwachung/wasserguetemessnetz/beeskow/
TK_0025,Kleinmachnow,Teltowkanal,Land Brandenburg,k. A.,k. A.,k. A.,NA,keine,https://lfu.brandenburg.de/lfu/de/aufgaben/wasser/fliessgewaesser-und-seen/gewaesserueberwachung/wasserguetemessnetz/kleinmachnow/
SP_0130,Leibsch,Spree,Land Brandenburg,k. A.,k. A.,k. A.,NA,keine,https://lfu.brandenburg.de/lfu/de/aufgaben/wasser/fliessgewaesser-und-seen/gewaesserueberwachung/wasserguetemessnetz/leibsch/
SP_0050,Neuhausen,Spree,Land Brandenburg,k. A.,k. A.,k. A.,NA,keine,https://lfu.brandenburg.de/lfu/de/aufgaben/wasser/fliessgewaesser-und-seen/gewaesserueberwachung/wasserguetemessnetz/neuhausen/
HV_0110,Potsdam,Havel,Land Brandenburg,k. A.,k. A.,k. A.,NA,keine,https://lfu.brandenburg.de/lfu/de/aufgaben/wasser/fliessgewaesser-und-seen/gewaesserueberwachung/wasserguetemessnetz/potsdam/
SP_0020,Spremberg,Spree,Land Brandenburg,k. A.,k. A.,k. A.,NA,keine,https://lfu.brandenburg.de/lfu/de/aufgaben/wasser/fliessgewaesser-und-seen/gewaesserueberwachung/wasserguetemessnetz/spremberg/
