Messstellennummer,Messstellenname,Gewaesser,Betreiber,Datum,Wassertemperatur,Einheit,Ganglinie,Klassifikation,stammdaten_link
601,MPS Berlin-Spandauer-Schifffahrtskanal,Berlin-Spandauer-Schifffahrtskanal,Land Berlin,11.05.2023 06:00,15.50,°C,https://wasserportal.berlin.de/station.php?anzeige=g&thema=owt&station=601,>15 - 20°C,https://wasserportal.berlin.de/station.php?anzeige=i&thema=owt&station=601
151,MPS Caprivibrücke,Spree,Land Berlin,11.05.2023 06:00,15.54,°C,https://wasserportal.berlin.de/station.php?anzeige=g&thema=owt&station=151,>15 - 20°C,https://wasserportal.berlin.de/station.php?anzeige=i&thema=owt&station=151
153,MPS Charlottenburg,Spree,Land Berlin,11.05.2023 06:00,15.43,°C,https://wasserportal.berlin.de/station.php?anzeige=g&thema=owt&station=153,>15 - 20°C,https://wasserportal.berlin.de/station.php?anzeige=i&thema=owt&station=153
509,MPS Landwehrkanal,Landwehrkanal,Land Berlin,11.05.2023 06:00,15.43,°C,https://wasserportal.berlin.de/station.php?anzeige=g&thema=owt&station=509,>15 - 20°C,https://wasserportal.berlin.de/station.php?anzeige=i&thema=owt&station=509
504,MPS Neuköllner Schifffahrtskanal,Neuköllner Schifffahrtskanal,Land Berlin,11.05.2023 06:00,15.61,°C,https://wasserportal.berlin.de/station.php?anzeige=g&thema=owt&station=504,>15 - 20°C,https://wasserportal.berlin.de/station.php?anzeige=i&thema=owt&station=504
414,MPS Teltowkanal,Teltowkanal,Land Berlin,11.05.2023 06:00,15.82,°C,https://wasserportal.berlin.de/station.php?anzeige=g&thema=owt&station=414,>15 - 20°C,https://wasserportal.berlin.de/station.php?anzeige=i&thema=owt&station=414
141,MS Mühlendammschleuse,Spree,Land Berlin,11.05.2023 06:00,15.75,°C,https://wasserportal.berlin.de/station.php?anzeige=g&thema=owt&station=141,>15 - 20°C,https://wasserportal.berlin.de/station.php?anzeige=i&thema=owt&station=141
111,MS Rahnsdorf,Müggelspree,Land Berlin,11.05.2023 06:00,16.02,°C,https://wasserportal.berlin.de/station.php?anzeige=g&thema=owt&station=111,>15 - 20°C,https://wasserportal.berlin.de/station.php?anzeige=i&thema=owt&station=111
211,MS Schmöckwitz,Dahme,Land Berlin,11.05.2023 06:00,16.13,°C,https://wasserportal.berlin.de/station.php?anzeige=g&thema=owt&station=211,>15 - 20°C,https://wasserportal.berlin.de/station.php?anzeige=i&thema=owt&station=211
161,MS Sophienwerder,Spree,Land Berlin,11.05.2023 06:00,15.58,°C,https://wasserportal.berlin.de/station.php?anzeige=g&thema=owt&station=161,>15 - 20°C,https://wasserportal.berlin.de/station.php?anzeige=i&thema=owt&station=161
421,MS Teltow-Werft,Teltowkanal,Land Berlin,11.05.2023 06:00,16.52,°C,https://wasserportal.berlin.de/station.php?anzeige=g&thema=owt&station=421,>15 - 20°C,https://wasserportal.berlin.de/station.php?anzeige=i&thema=owt&station=421
5861101,Am Reitweg,Neuenhagener Mühlenfließ,Land Berlin,11.05.2023 06:15,13.70,°C,https://wasserportal.berlin.de/station.php?anzeige=g&thema=owt&station=5861101,>10 - 15°C,https://wasserportal.berlin.de/station.php?anzeige=i&thema=owt&station=5861101
5800107,Am Wolfsschluchtkanal,Krumme Lanke,Land Berlin,11.05.2023 06:15,15.20,°C,https://wasserportal.berlin.de/station.php?anzeige=g&thema=owt&station=5800107,>15 - 20°C,https://wasserportal.berlin.de/station.php?anzeige=i&thema=owt&station=5800107
